,Fecha_Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
257,2004-04-11,Suelo,Alquiler,Barcelona,242.0,1099648.0,2005-02-13,María
259,2004-04-12,Piso,Alquiler,Tarragona,258.0,1750014.0,2004-12-09,Luisa
260,2004-04-12,Casa,Alquiler,Lleida,201.0,1107108.0,2005-04-07,Joaquín
261,2004-04-12,Casa,Alquiler,Barcelona,181.0,1449629.0,2004-09-14,Luisa
262,2004-04-13,Oficina,Alquiler,Barcelona,244.0,1006988.0,2004-08-06,María
263,2004-04-14,Parking,Alquiler,Tarragona,258.0,1770912.0,2005-03-02,Jesús
265,2004-04-14,Parking,Alquiler,Tarragona,216.0,1125792.0,2004-09-16,Jesús
267,2004-04-15,Industrial,Alquiler,Girona,150.0,968250.0,2005-02-15,María
269,2004-04-15,Parking,Alquiler,Tarragona,223.0,1342906.0,2004-10-31,Joaquín
270,2004-04-15,Local,Alquiler,Lleida,237.0,1093281.0,2005-01-02,Jesús
272,2004-04-15,Piso,Alquiler,Lleida,120.0,722880.0,2005-02-14,Joaquín
273,2004-04-15,Piso,Alquiler,Lleida,113.0,1102880.0,2005-03-17,Jesús
274,2004-04-16,Local,Alquiler,Girona,193.0,1079449.0,2004-11-20,Pedro
275,2004-04-17,Oficina,Alquiler,Girona,110.0,1039500.0,2004-11-17,Pedro
277,2004-04-17,Suelo,Alquiler,Girona,125.0,853750.0,2004-08-25,Carmen
279,2004-04-18,Oficina,Venta,Barcelona,154.0,881804.0,2004-08-25,Pedro
280,2004-04-18,Oficina,Venta,Girona,258.0,1081278.0,2005-04-13,Carmen
282,2004-04-18,Oficina,Alquiler,Tarragona,137.0,1336298.0,2004-11-27,Pedro
283,2004-04-19,Suelo,Alquiler,Girona,262.0,2404898.0,2004-10-20,Luisa
284,2004-04-19,Industrial,Alquiler,Tarragona,143.0,712712.0,2005-01-10,Jesús
286,2004-04-19,Industrial,Alquiler,Barcelona,225.0,1360800.0,2004-07-22,Jesús
287,2004-04-19,Casa,Alquiler,Lleida,177.0,924294.0,2005-01-19,Luisa
289,2004-04-20,Oficina,Alquiler,Girona,227.0,1437818.0,2005-03-27,Jesús
290,2004-04-21,Casa,Alquiler,Tarragona,295.0,1877675.0,2004-09-11,Pedro
293,2004-04-22,Oficina,Venta,Girona,86.0,589960.0,2005-03-18,Carmen
294,2004-04-22,Oficina,Venta,Girona,133.0,786695.0,2004-11-21,Luisa
295,2004-04-22,Parking,Alquiler,Barcelona,235.0,1773780.0,2005-03-28,Pedro
296,2004-04-23,Suelo,Alquiler,Girona,288.0,2699136.0,2004-07-28,Pedro
299,2004-04-23,Suelo,Alquiler,Tarragona,85.0,683230.0,2005-02-06,Carmen
300,2004-04-24,Casa,Alquiler,Tarragona,178.0,1458176.0,2005-02-12,Carmen
301,2004-04-24,Industrial,Alquiler,Girona,211.0,1171894.0,2005-03-22,Pedro
302,2004-04-25,Oficina,Venta,Girona,209.0,1728221.0,2004-08-30,Carmen
303,2004-04-26,Casa,Alquiler,Barcelona,298.0,2612566.0,2005-02-16,Pedro
304,2004-04-27,Oficina,Venta,Girona,249.0,1150380.0,2004-11-18,Joaquín
307,2004-04-28,Suelo,Alquiler,Barcelona,228.0,1521216.0,2005-03-16,Carmen
308,2004-04-28,Piso,Alquiler,Lleida,237.0,1763517.0,2004-09-06,Luisa
312,2004-04-30,Local,Alquiler,Barcelona,91.0,391391.0,2005-02-13,Luisa
313,2004-04-30,Suelo,Alquiler,Tarragona,230.0,1386900.0,2005-03-21,Joaquín
314,2004-05-01,Casa,Alquiler,Barcelona,251.0,2439971.0,2005-02-14,Joaquín
315,2004-05-02,Industrial,Alquiler,Barcelona,261.0,2571111.0,2005-02-07,Carmen
316,2004-05-02,Parking,Alquiler,Barcelona,251.0,1754992.0,2004-08-26,Jesús
317,2004-05-02,Suelo,Alquiler,Lleida,46.0,440772.0,2004-11-17,Jesús
319,2004-05-02,Industrial,Alquiler,Girona,277.0,2456159.0,2004-08-04,María
320,2004-05-03,Industrial,Alquiler,Girona,190.0,977740.0,2004-08-12,Pedro
323,2004-05-04,Suelo,Alquiler,Barcelona,155.0,876060.0,2004-12-31,Carmen
325,2004-05-04,Industrial,Alquiler,Barcelona,179.0,1227224.0,2004-10-08,Luisa
329,2004-05-05,Parking,Alquiler,Girona,125.0,1189250.0,2004-10-26,Pedro
330,2004-05-05,Parking,Alquiler,Barcelona,205.0,990355.0,2004-12-08,Luisa
331,2004-05-06,Local,Alquiler,Girona,138.0,877680.0,2005-03-31,Luisa
333,2004-05-07,Industrial,Alquiler,Tarragona,242.0,2110966.0,2005-01-22,Pedro
335,2004-05-07,Local,Alquiler,Tarragona,227.0,1394461.0,2005-01-28,María
336,2004-05-08,Oficina,Venta,Girona,102.0,413610.0,2004-09-15,Pedro
337,2004-05-08,Oficina,Alquiler,Barcelona,41.0,361661.0,2005-01-28,Carmen
338,2004-05-09,Suelo,Alquiler,Girona,75.0,683175.0,2004-09-04,Joaquín
341,2004-05-10,Local,Alquiler,Lleida,259.0,1992228.0,2004-12-21,Pedro
344,2004-05-11,Industrial,Alquiler,Tarragona,131.0,1263495.0,2005-01-01,Jesús
347,2004-05-11,Oficina,Alquiler,Girona,187.0,1560889.0,2005-03-26,Joaquín
349,2004-05-13,Oficina,Venta,Girona,103.0,680830.0,2004-09-21,María
350,2004-05-13,Piso,Alquiler,Girona,75.0,418725.0,2005-04-24,Pedro
352,2004-05-14,Piso,Alquiler,Tarragona,257.0,1980185.0,2004-08-14,Carmen
354,2004-05-14,Oficina,Alquiler,Tarragona,209.0,1181686.0,2004-10-15,Carmen
355,2004-05-14,Parking,Alquiler,Lleida,154.0,830830.0,2005-02-03,Luisa
362,2004-05-18,Suelo,Alquiler,Girona,68.0,378624.0,2005-03-30,Carmen
364,2004-05-18,Local,Alquiler,Tarragona,137.0,673355.0,2004-10-16,María
365,2004-05-18,Oficina,Venta,Lleida,137.0,961192.0,2005-05-10,Jesús
366,2004-05-18,Industrial,Alquiler,Lleida,76.0,501220.0,2005-03-24,Jesús
368,2004-05-19,Casa,Alquiler,Barcelona,149.0,1238339.0,2004-12-27,Luisa
369,2004-05-19,Suelo,Alquiler,Tarragona,285.0,1377975.0,2004-09-14,Jesús
370,2004-05-20,Oficina,Venta,Barcelona,230.0,1109980.0,2004-12-08,Luisa
371,2004-05-20,Parking,Alquiler,Lleida,163.0,1317529.0,2005-05-03,Luisa
372,2004-05-21,Suelo,Alquiler,Barcelona,131.0,822811.0,2005-05-21,Pedro
373,2004-05-21,Piso,Alquiler,Tarragona,167.0,895287.0,2004-11-13,Jesús
375,2004-05-23,Industrial,Alquiler,Lleida,247.0,1210053.0,2004-09-04,Jesús
376,2004-05-24,Oficina,Alquiler,Barcelona,105.0,525210.0,2005-04-16,Pedro
377,2004-05-24,Suelo,Alquiler,Girona,280.0,1680000.0,2004-09-17,María
381,2004-05-26,Suelo,Alquiler,Lleida,264.0,2582184.0,2005-04-24,Luisa
382,2004-05-26,Industrial,Alquiler,Lleida,298.0,1331166.0,2004-12-28,Joaquín
385,2004-05-26,Parking,Alquiler,Girona,184.0,830760.0,2004-09-13,Pedro
386,2004-05-27,Oficina,Venta,Barcelona,119.0,486472.0,2004-09-04,Joaquín
387,2004-05-28,Parking,Alquiler,Girona,137.0,835152.0,2005-02-13,Jesús
388,2004-05-29,Oficina,Alquiler,Tarragona,196.0,882784.0,2005-02-02,Luisa
389,2004-05-30,Parking,Alquiler,Tarragona,65.0,389350.0,2004-12-10,Luisa
391,2004-05-30,Piso,Alquiler,Barcelona,202.0,1560450.0,2005-02-06,Jesús
393,2004-05-31,Local,Alquiler,Barcelona,203.0,946792.0,2005-04-17,María
394,2004-05-31,Casa,Alquiler,Girona,192.0,1159296.0,2005-05-23,Carmen
395,2004-05-31,Parking,Alquiler,Lleida,296.0,1602544.0,2004-09-07,Jesús
400,2004-06-02,Piso,Alquiler,Barcelona,271.0,2682900.0,2005-06-02,Pedro
401,2004-06-02,Industrial,Alquiler,Lleida,278.0,2188138.0,2005-01-21,María
403,2004-06-03,Casa,Alquiler,Lleida,72.0,702576.0,2005-03-22,Carmen
405,2004-06-03,Oficina,Venta,Barcelona,207.0,1883700.0,2005-02-23,Carmen
407,2004-06-04,Industrial,Alquiler,Barcelona,74.0,729788.0,2005-01-22,Pedro
409,2004-06-04,Piso,Alquiler,Lleida,46.0,435252.0,2004-10-30,Luisa
412,2004-06-05,Piso,Alquiler,Tarragona,189.0,1527498.0,2005-05-14,Luisa
415,2004-06-07,Oficina,Alquiler,Lleida,201.0,1287807.0,2004-09-11,Carmen
417,2004-06-07,Industrial,Alquiler,Girona,287.0,2452989.0,2005-01-26,Joaquín
419,2004-06-08,Piso,Alquiler,Lleida,114.0,1019160.0,2005-05-29,Carmen
421,2004-06-09,Piso,Alquiler,Barcelona,126.0,637308.0,2004-11-09,Jesús
422,2004-06-09,Local,Alquiler,Barcelona,260.0,1090180.0,2004-12-16,Luisa
425,2004-06-09,Oficina,Alquiler,Lleida,207.0,1042659.0,2004-10-12,Jesús
427,2004-06-10,Piso,Alquiler,Lleida,52.0,338364.0,2005-01-04,Carmen
428,2004-06-11,Parking,Alquiler,Tarragona,271.0,2190493.0,2004-11-02,Jesús
429,2004-06-11,Oficina,Venta,Tarragona,249.0,1388175.0,2004-10-29,Luisa
430,2004-06-11,Suelo,Alquiler,Tarragona,153.0,1116441.0,2004-12-19,Jesús
431,2004-06-12,Oficina,Alquiler,Lleida,205.0,1980300.0,2005-01-01,Joaquín
433,2004-06-13,Local,Alquiler,Tarragona,246.0,1898628.0,2004-12-15,Joaquín
434,2004-06-13,Industrial,Alquiler,Girona,233.0,1541528.0,2005-02-03,Jesús
437,2004-06-14,Oficina,Venta,Barcelona,158.0,1543344.0,2004-12-26,Luisa
438,2004-06-15,Oficina,Alquiler,Girona,298.0,2524358.0,2004-10-23,Luisa
442,2004-06-17,Piso,Alquiler,Girona,245.0,1001070.0,2004-10-14,Jesús
444,2004-06-17,Local,Alquiler,Girona,44.0,189156.0,2004-11-25,Jesús
445,2004-06-17,Casa,Alquiler,Tarragona,57.0,419178.0,2005-03-18,Jesús
446,2004-06-17,Parking,Alquiler,Lleida,263.0,1779458.0,2005-01-24,Pedro
447,2004-06-17,Local,Alquiler,Girona,234.0,1159470.0,2004-10-02,Pedro
449,2004-06-18,Industrial,Alquiler,Lleida,248.0,1674744.0,2005-05-01,Luisa
450,2004-06-18,Oficina,Venta,Barcelona,54.0,406998.0,2005-04-25,Joaquín
453,2004-06-19,Oficina,Alquiler,Barcelona,72.0,458568.0,2004-10-06,Luisa
454,2004-06-20,Parking,Alquiler,Barcelona,244.0,2439512.0,2005-01-02,Carmen
456,2004-06-20,Suelo,Alquiler,Lleida,104.0,511680.0,2005-06-05,Luisa
457,2004-06-20,Piso,Alquiler,Barcelona,71.0,587880.0,2004-10-03,Jesús
458,2004-06-21,Oficina,Venta,Girona,107.0,590426.0,2004-11-03,María
459,2004-06-22,Oficina,Alquiler,Barcelona,77.0,322322.0,2005-03-12,Joaquín
461,2004-06-22,Oficina,Alquiler,Lleida,204.0,924732.0,2005-04-28,María
463,2004-06-24,Casa,Alquiler,Girona,143.0,836836.0,2005-06-15,Luisa
464,2004-06-24,Industrial,Alquiler,Lleida,268.0,2628812.0,2005-03-15,Pedro
465,2004-06-24,Local,Alquiler,Tarragona,44.0,242704.0,2004-10-03,Joaquín
468,2004-06-24,Casa,Alquiler,Barcelona,65.0,546780.0,2004-12-13,Pedro
472,2004-06-25,Parking,Alquiler,Lleida,105.0,872760.0,2005-03-26,Carmen
474,2004-06-25,Suelo,Alquiler,Tarragona,136.0,568480.0,2004-12-03,Pedro
475,2004-06-26,Oficina,Alquiler,Lleida,88.0,851488.0,2005-05-25,Carmen
476,2004-06-28,Suelo,Alquiler,Lleida,86.0,855442.0,2004-10-20,Jesús
477,2004-06-28,Suelo,Alquiler,Lleida,189.0,913248.0,2005-05-13,Luisa
478,2004-06-28,Oficina,Venta,Girona,232.0,1028224.0,2005-05-26,Luisa
480,2004-06-29,Oficina,Alquiler,Barcelona,257.0,1166780.0,2005-01-10,Jesús
482,2004-06-29,Oficina,Venta,Lleida,134.0,946710.0,2005-01-04,Carmen
484,2004-06-30,Piso,Alquiler,Tarragona,122.0,1093608.0,2005-02-27,Luisa
487,2004-07-01,Piso,Alquiler,Lleida,185.0,1306840.0,2005-05-17,Carmen
489,2004-07-02,Parking,Alquiler,Barcelona,234.0,1911312.0,2005-04-08,Luisa
490,2004-07-02,Piso,Alquiler,Girona,62.0,358670.0,2005-06-04,Luisa
492,2004-07-03,Parking,Alquiler,Lleida,299.0,1948583.0,2004-12-21,María
494,2004-07-03,Oficina,Venta,Barcelona,268.0,2578696.0,2005-06-28,Luisa
495,2004-07-03,Piso,Alquiler,Lleida,155.0,1166065.0,2004-12-07,Jesús
496,2004-07-03,Oficina,Venta,Girona,209.0,1316073.0,2005-04-02,Pedro
497,2004-07-03,Suelo,Alquiler,Tarragona,110.0,1004740.0,2005-07-03,Luisa
499,2004-07-04,Industrial,Alquiler,Lleida,240.0,2238000.0,2005-05-06,Pedro
501,2004-07-05,Piso,Alquiler,Lleida,224.0,2087904.0,2005-01-29,Jesús
503,2004-07-05,Oficina,Venta,Lleida,186.0,1216254.0,2005-04-09,María
505,2004-07-05,Industrial,Alquiler,Tarragona,235.0,1207195.0,2004-10-14,Luisa
506,2004-07-05,Industrial,Alquiler,Tarragona,159.0,1032546.0,2004-11-07,Carmen
509,2004-07-06,Industrial,Alquiler,Barcelona,227.0,1175860.0,2005-07-05,Joaquín
511,2004-07-06,Parking,Alquiler,Tarragona,239.0,1782940.0,2004-11-13,Joaquín
512,2004-07-06,Casa,Alquiler,Barcelona,191.0,1841622.0,2005-01-21,Jesús
514,2004-07-08,Oficina,Alquiler,Barcelona,47.0,262777.0,2004-12-22,Carmen
